asic_base_variable,asic_example_columns,clinical_concept,role,mimic_module,mimic_primary_table,mimic_secondary_table,item_dictionary,candidate_itemids_or_source_logic,raw_unit_expected,unit_normalization_rule,within_block_aggregation_rule,demo_coverage_estimate,mapping_quality,risk_flag,decision_note,source_evidence,final_role,freeze_decision,freeze_note
vt,vt_obs_count|vt_mean|vt_median|vt_min|vt_max|vt_last,Tidal volume,shared_primary,icu,chartevents,,d_items,Prefer 224684 Tidal Volume (set) for the setting-oriented Chapter 1 VT concept; keep 224685 Tidal Volume (observed) and 224686 Tidal Volume (spontaneous) only under explicit fallback or sensitivity rules.,mL in MIMIC; mL target in ASIC,No numeric conversion needed; keep mL as-is; retain later physiologic QC for zeros and extreme outliers.,"Later derive obs_count, mean, median, min, max, last per 8h block from the chosen tidal-volume stream.",224685/224684/224686 present in 67/140 demo ICU stays.,weak,high,Follow-up validation confirms the three VT candidates are distinct respiratory contexts with mL units. 224684 Tidal Volume (set) remains the best Chapter 1-aligned primary candidate; observed and spontaneous VT remain useful only as explicit fallback/sensitivity candidates. Mapping quality and risk stay unchanged because ventilator-context ambiguity and outlier handling remain implementation risks.,"ASIC source_map canonical_name=vt uses raw Vt where available; prior-project YAML vt=224684; d_items 224684 Tidal Volume (set), 224685 Tidal Volume (observed), 224686 Tidal Volume (spontaneous), all category=Respiratory linksto=chartevents unitname=mL param_type=Numeric; demo chartevents: 769 rows/62 stays for 224684, 1,331 rows/67 stays for 224685, 661 rows/56 stays for 224686.",shared_primary,accepted_asymmetry_retained,"Retained as shared-primary accepted asymmetry: 224684 Tidal Volume (set) is preferred, with observed/spontaneous variants only as explicit fallback/sensitivity sources."
vt_per_kg_ibw,vt_per_kg_ibw_obs_count|vt_per_kg_ibw_mean|vt_per_kg_ibw_median|vt_per_kg_ibw_min|vt_per_kg_ibw_max|vt_per_kg_ibw_last,Tidal volume normalized by ideal body weight,shared_primary,icu + hosp,derived from chartevents + patients,chartevents (height support),d_items + patients table,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.,mL and cm with sex for IBW derivation,Convert height inches to cm when needed; derive IBW using an explicit chosen formula such as Devine; then compute VT_per_kg_IBW = VT_mL / IBW_kg; do not substitute actual body weight.,"Later derive the per-timestamp VT_per_kg_IBW value first, then summarize to obs_count, mean, median, min, max, last per 8h block.",VT and height intersect in 48/140 demo ICU stays; sex is available in patients.,weak,high,"This is a derived shared-primary concept, but it depends on a formula choice for IBW and on ambiguous VT source selection; keep all of that explicit.","ASIC source_map canonical_name=vt_per_kg_ibw uses raw individuelles_Tidalvolumen_pro_kg_idealem_Koerpergewicht; d_items 226730 Height (cm), 226707 Height, 224685/224684/224686 tidal-volume candidates; patients table supplies gender; demo coverage: VT in 67 stays, height in 71, intersection 48.",shared_primary,derived_only,Retained as shared-primary derived-only: compute from accepted VT source plus explicit IBW derivation from height and sex/gender support.
etco2,etco2_obs_count|etco2_mean|etco2_median|etco2_min|etco2_max|etco2_last,End-tidal CO2,shared_primary,icu,chartevents,,d_items,Prefer 228640 EtCO2 from chartevents; keep high-risk caution because local unit metadata is blank and demo coverage is sparse.,mmHg expected,"Keep as mmHg if already charted that way; if alternative unit encodings appear in full MIMIC, normalize to mmHg before aggregation.","Later derive obs_count, mean, median, min, max, last per 8h block from aligned EtCO2 values.",228640 present in 14/140 demo ICU stays.,direct,high,"Follow-up validation confirms 228640 is the correct EtCO2 chartevents item. This supports keeping it as the preferred primary candidate, but does not lower risk because the unit field remains blank and demo coverage is sparse.","ASIC source_map canonical_name=etco2 uses raw etCO2; ASIC semantic_decisions include an explicit Pa-to-mmHg correction at one site, confirming the target concept is mmHg; d_items 228640 label=EtCO2 abbreviation=EtCO2 category=Routine Vital Signs linksto=chartevents param_type=Numeric unitname=None; demo chartevents: 202 rows across 14 stays, valueuom blank.",shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct EtCO2 mapping; risk remains coverage/unit-metadata rather than concept mismatch.
pf_ratio,pf_ratio_obs_count|pf_ratio_mean|pf_ratio_median|pf_ratio_min|pf_ratio_max|pf_ratio_last,PaO2/FiO2 ratio,shared_primary,icu + hosp,derived from PaO2 and FiO2 sources,chartevents (optional direct item 229393 PF Ratio Value),d_items + d_labitems,Primary mapping is derived: PF_ratio = aligned PaO2 / aligned FiO2_fraction; optional direct item 229393 PF Ratio Value can be checked later but should not be the primary source because it is absent in the demo.,mmHg divided by FiO2 fraction,Convert FiO2 percent to fraction by dividing by 100 before the ratio; use only PaO2 candidates accepted under the final arteriality rule.,"Later derive the ratio at aligned timestamps first, then summarize to obs_count, mean, median, min, max, last per 8h block.",PaO2 and FiO2 stay-level coverage intersects in 71/140 demo ICU stays; direct item 229393 has 0 demo rows.,weak,high,"This is an intended shared-primary concept, but it is derived rather than measured and inherits the FiO2-scaling and arteriality risks of its inputs.",ASIC source_map canonical_name=pf_ratio uses raw Horowitz-Quotient_(ohne_Temp-Korrektur); d_items 229393 PF Ratio Value exists but is absent in demo; PaO2 candidates 220224/50821 and FiO2 candidate 223835 inspected in demo.,shared_primary,derived_only,Retained as shared-primary derived-only: compute from accepted PaO2 and FiO2 inputs; do not treat optional direct PF item as primary.
pao2,pao2_obs_count|pao2_mean|pao2_median|pao2_min|pao2_max|pao2_last,Arterial oxygen partial pressure,shared_primary,icu + hosp,chartevents,labevents,d_items + d_labitems,Prefer 220224 Arterial O2 pressure; use 50821 pO2 from blood-gas labevents only if later review confirms that the relevant rows are arterial or chart-mirrored arterial gas results.,mmHg in MIMIC; mmHg target in ASIC,No numeric conversion needed; treat labevents mm Hg and chartevents mmHg as equivalent and keep values in mmHg.,"Later derive obs_count, mean, median, min, max, last per 8h block from accepted arterial PaO2 values.",220224 and/or 50821 present in 97/140 demo ICU stays.,direct,high,Prior-project YAML supports the current preferred 220224 Arterial O2 pressure chartevents item. The row remains high-risk because broader 50821 blood-gas labevents coverage still needs arteriality/provenance review.,"ASIC source_map canonical_name=pao2 uses raw paO2_(ohne_Temp-Korrektur); prior-project YAML oxy=220224; d_items 220224 label=Arterial O2 pressure; d_labitems 50821 label=pO2 fluid=Blood category=Blood Gas; demo coverage: 74 stays via 220224, 97 via 50821, 97 combined.",shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct arterial O2 pressure mapping with provenance-aware secondary lab use.
paco2,paco2_obs_count|paco2_mean|paco2_median|paco2_min|paco2_max|paco2_last,Arterial carbon dioxide partial pressure,shared_primary,icu + hosp,chartevents,labevents,d_items + d_labitems,Prefer 220235 Arterial CO2 Pressure; use 50818 pCO2 from blood-gas labevents only if later review confirms arterial interpretation or chart mirroring.,mmHg in MIMIC; mmHg target in ASIC,No numeric conversion needed; treat labevents mm Hg and chartevents mmHg as equivalent and keep values in mmHg.,"Later derive obs_count, mean, median, min, max, last per 8h block from accepted arterial PaCO2 values.",220235 and/or 50818 present in 97/140 demo ICU stays.,direct,high,Prior-project YAML supports the current preferred 220235 Arterial CO2 Pressure chartevents item. The row remains high-risk because broader 50818 blood-gas labevents coverage still needs arteriality/provenance review.,"ASIC source_map canonical_name=paco2 uses raw paCO2_(ohne_Temp-Korrektur); prior-project YAML pco=220235; d_items 220235 label=Arterial CO2 Pressure; d_labitems 50818 label=pCO2 fluid=Blood category=Blood Gas; demo coverage: 74 stays via 220235, 97 via 50818, 97 combined.",shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct arterial CO2 pressure mapping with provenance-aware secondary lab use.
ph_art,ph_art_obs_count|ph_art_mean|ph_art_median|ph_art_min|ph_art_max|ph_art_last,Arterial pH,shared_primary,icu + hosp,chartevents,labevents,d_items + d_labitems,Prefer 223830 PH (Arterial) from chartevents; use 50820 pH from blood-gas labevents only if later review confirms arterial interpretation or chart mirroring; do not substitute non-blood-fluid pH rows.,unitless pH in MIMIC; unitless pH target in ASIC,No numeric conversion needed; keep pH values as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from accepted arterial blood-gas pH values.",223830 and/or 50820 present in 101/140 demo ICU stays.,direct,high,"Semantic match is direct because the preferred primary item, 223830, is explicitly labeled PH (Arterial). Remaining caution is about coverage/provenance when using broader lab pH item 50820, not about concept mismatch for the anchored 223830 mapping.",ASIC source_map canonical_name=ph_art uses raw pH_arteriell; prior-project YAML pha=223830; d_items 223830 label=PH (Arterial); d_labitems 50820 label=pH fluid=Blood category=Blood Gas; demo chartevents: 644 rows across 74 stays for 223830; demo labevents: 966 rows across 101 ICU stays for 50820.,shared_primary,direct_or_near_direct,Retained as shared-primary direct semantic mapping when anchored to 223830 PH (Arterial); remaining caution is coverage/provenance only.
bicarbonate_art,bicarbonate_art_obs_count|bicarbonate_art_mean|bicarbonate_art_median|bicarbonate_art_min|bicarbonate_art_max|bicarbonate_art_last,Arterial bicarbonate,shared_primary,hosp,labevents,,d_labitems,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract.",mEq/L,Treat mEq/L as numerically equivalent to mmol/L for bicarbonate and keep values on that scale.,"Later derive obs_count, mean, median, min, max, last per 8h block from accepted blood-gas bicarbonate values.",50803 present in 3/140 demo ICU stays.,weak,high,"Follow-up validation found no better arterial bicarbonate candidate. 224826/227443 are serum bicarbonate chart items, 226759/226760 are APACHE score-derived fields, and 225165/220995/227533/221211/220994 are treatment/input or ingredient records; none is a semantically defensible arterial bicarbonate measurement. Keep this row weak/high-risk and close to an operational unavailability concern because 50803 is sparse and not explicitly arterial.","ASIC source_map canonical_name=bicarbonate_art uses raw Bicarbonat_arteriell; d_labitems 50803 label=Calculated Bicarbonate, Whole Blood fluid=Blood category=Blood Gas with 13 demo labevents across 3 ICU stays; follow-up rejected d_items 224826 ZHCO3 (serum), 227443 HCO3 (serum), 226759 HCO3ApacheIIValue, 226760 HCO3Score, 225165 Bicarbonate Base, 220995 Sodium Bicarbonate 8.4%, 227533 Sodium Bicarbonate 8.4% (Amp), 221211 Sodium Bicarbonate 1,4%, and 220994 Bicarbonate (ingr) as wrong-context candidates.",mimic_secondary,demoted_from_shared_primary,"Demoted to MIMIC-secondary: the clean blood-gas candidate is sparse/context-limited and high-coverage serum, APACHE, input, medication, and ingredient alternatives are wrong-context substitutes."
base_excess_art,base_excess_art_obs_count|base_excess_art_mean|base_excess_art_median|base_excess_art_min|base_excess_art_max|base_excess_art_last,Arterial base excess,shared_primary,icu + hosp,chartevents,labevents,d_items + d_labitems,Prefer 224828 Arterial Base Excess; secondary candidate 50802 Base Excess from blood-gas labevents if later arteriality review supports its use.,mEq/L,Keep mEq/L as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from accepted arterial base-excess values.",224828 and/or 50802 present in 97/140 demo ICU stays.,direct,high,"Follow-up validation confirms 224828 is an explicit Arterial Base Excess chartevents item and remains the preferred primary candidate. Mapping quality stays direct, but risk remains high because any broader use of 50802 blood-gas lab rows is still arteriality/provenance-dependent.","ASIC source_map canonical_name=base_excess_art uses raw BE_arteriell; d_items 224828 label=Arterial Base Excess abbreviation=Arterial Base Excess category=Labs linksto=chartevents param_type=Numeric; d_labitems 50802 label=Base Excess fluid=Blood category=Blood Gas; demo coverage: 74 stays via 224828, 97 via 50802, 97 combined.",shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct using 224828 Arterial Base Excess as preferred source; broader lab use remains provenance-aware.
lactate_art,lactate_art_obs_count|lactate_art_mean|lactate_art_median|lactate_art_min|lactate_art_max|lactate_art_last,Arterial lactate,shared_primary,hosp,labevents,,d_labitems,Use blood-gas lactate itemids 50813 and 52442; prior-project 225668 Lactic Acid is a chartevents lactate mirror candidate only if later provenance confirms blood-gas/arterial alignment; do not silently substitute chemistry lactate 53154 into the shared-primary mapping.,mmol/L in MIMIC; mmol/L target in ASIC,No numeric conversion needed; keep mmol/L as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from accepted arterial blood-gas lactate values.",50813/52442 present in 103/140 demo ICU stays.,weak,high,"Prior-project YAML confirms a local chartevents lactate-like candidate, 225668 Lactic Acid, but its dictionary label is not arterial lactate. It does not replace the blood-gas lab mapping; the row stays weak because arteriality remains unresolved.","ASIC source_map canonical_name=lactate_art uses raw Laktat_arteriell; prior-project YAML lac=225668; d_items 225668 label=Lactic Acid; d_labitems 50813 and 52442 labels=Lactate fluid=Blood category=Blood Gas; demo rows: 530 chartevents rows for 225668, 758 labevents rows across 103 ICU stays for 50813, and 0 demo rows for 52442.",shared_primary,accepted_asymmetry_retained,Retained as shared-primary accepted asymmetry: blood-gas lactate is usable but arteriality/provenance remains imperfect.
hemoglobin,hemoglobin_obs_count|hemoglobin_mean|hemoglobin_median|hemoglobin_min|hemoglobin_max|hemoglobin_last,Hemoglobin concentration,shared_primary,hosp + icu,labevents,chartevents (mirror labs),d_labitems + d_items,Prefer lab hemoglobin itemids 51222 and 51640; accept blood-gas hemoglobin 50811 as a secondary same-concept source; 220228 Hemoglobin is a likely charted lab mirror.,g/dL in MIMIC; mmol/L target in ASIC,Convert MIMIC hemoglobin from g/dL to the external ASIC target mmol/L by dividing by the external factor_asic_to_mimic 1.611 (equivalently multiply by about 0.621).,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating simultaneous mirror-lab copies across tables.",Hemoglobin candidate sources reach 140/140 demo ICU stays.,direct,medium,"The external reference revealed a real unit mismatch that was not explicit in the prior draft: the aligned ASIC target is mmol/L, not g/dL. This resolves the unit ambiguity, but the row still keeps its prior medium risk because mirror-lab duplication and source mixing remain implementation concerns.","ASIC source_map canonical_name=hemoglobin uses raw Haemoglobin; d_labitems 51222/51640 labels=Hemoglobin, 50811 label=Hemoglobin blood gas; d_items 220228 label=Hemoglobin; demo combined coverage 140/140 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct lab mapping with explicit g/dL-to-mmol/L unit normalization.
hematocrit,hematocrit_obs_count|hematocrit_mean|hematocrit_median|hematocrit_min|hematocrit_max|hematocrit_last,Hematocrit,shared_primary,hosp + icu,labevents,chartevents (mirror labs),d_labitems + d_items,"Prefer lab hematocrit itemids 51221, 51638, and 51639; accept blood-gas hematocrit 52028 and 50810 as secondary same-concept sources; 220545 and 226540 are charted lab mirrors.",% in MIMIC; % target in ASIC,No numeric conversion needed; keep percent values as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating mirror-lab copies.",Hematocrit candidate sources reach 140/140 demo ICU stays.,direct,medium,External unit reference confirms hematocrit is a pure percent-to-percent match; the existing row stands.,ASIC source_map canonical_name=hematocrit uses raw Haematokrit; d_labitems 51221/51638/51639/52028/50810 and d_items 220545/226540 inspected; demo combined coverage 140/140 stays.,shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct lab mapping with mirror-source deduplication handled later.
wbc,wbc_obs_count|wbc_mean|wbc_median|wbc_min|wbc_max|wbc_last,White blood cell count,shared_primary,hosp + icu,labevents,chartevents (mirror labs),d_labitems + d_items,Prefer 51301 White Blood Cells from labevents; 220546 WBC is a charted lab mirror; avoid relying on legacy/poorly linked 51300 WBC Count as the primary source.,10x3/µL in MIMIC; 10x9/L target in ASIC,"No numeric rescaling is needed: 10x3/µL and 10x9/L are numerically equivalent, so preserve the value and standardize the unit label only.","Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating mirror-lab copies.",51301 and/or 220546 present in 140/140 demo ICU stays.,direct,medium,"External unit reference reduces avoidable unit ambiguity for WBC. The row keeps its prior medium risk because the remaining issue is source duplication, not units.","ASIC source_map canonical_name=wbc uses raw Leukozyten; d_labitems 51301 label=White Blood Cells, 51300 label=WBC Count; d_items 220546 label=WBC; demo coverage: 140 stays via 51301 or 220546.",shared_primary,direct_or_near_direct,Retained as shared-primary direct WBC mapping with mirror-source deduplication handled later.
platelets,platelets_obs_count|platelets_mean|platelets_median|platelets_min|platelets_max|platelets_last,Platelet count,shared_primary,hosp + icu,labevents,chartevents (mirror labs),d_labitems + d_items,Prefer 51265 and 51704 Platelet Count from labevents; 227457 Platelet Count is a charted lab mirror.,10x3/µL in MIMIC; 10x9/L target in ASIC,"No numeric rescaling is needed: 10x3/µL and 10x9/L are numerically equivalent, so preserve the value and standardize the unit label only.","Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating mirror-lab copies.",51265/51704 and/or 227457 present in 140/140 demo ICU stays.,direct,low,"External unit reference confirms platelet counts are numerically aligned despite different labels. This was a unit-label clarification only, not a semantic change.",ASIC source_map canonical_name=platelets uses raw Thrombozyten; d_labitems 51265 and 51704 label=Platelet Count; d_items 227457 label=Platelet Count; demo combined coverage 140/140 stays.,shared_primary,direct_or_near_direct,Retained as shared-primary direct platelet-count mapping with unit-label equivalence.
inr,inr_obs_count|inr_mean|inr_median|inr_min|inr_max|inr_last,International normalized ratio,shared_primary,hosp + icu,labevents,chartevents (mirror labs),d_labitems + d_items,Prefer 51237 and 51675 INR(PT) from labevents; 227467 INR is a charted lab mirror.,unitless in MIMIC; unitless target in ASIC,No numeric conversion needed; keep INR as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating mirror-lab copies.",51237/51675 and/or 227467 present in 132/140 demo ICU stays.,direct,low,"External unit reference is consistent with a unitless INR contract, so the prior mapping stands.",ASIC source_map canonical_name=inr uses raw INR; d_labitems 51237 and 51675 label=INR(PT); d_items 227467 label=INR; demo combined coverage 132/140 stays.,shared_primary,direct_or_near_direct,Retained as shared-primary direct coagulation mapping.
ptt,ptt_obs_count|ptt_mean|ptt_median|ptt_min|ptt_max|ptt_last,Partial thromboplastin time,shared_primary,hosp + icu,labevents,chartevents (mirror labs),d_labitems + d_items,Prefer 51275 and 52923 PTT from labevents; 227466 PTT is a charted lab mirror.,sec,Keep seconds as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating mirror-lab copies.",51275/52923 and/or 227466 present in 132/140 demo ICU stays.,direct,low,Clean direct coagulation mapping with ordinary mirror-lab duplication risk only.,ASIC source_map canonical_name=ptt uses raw pTT; d_labitems 51275 and 52923 label=PTT; d_items 227466 label=PTT; demo combined coverage 132/140 stays.,shared_primary,direct_or_near_direct,Retained as shared-primary direct coagulation mapping.
