variable_name,role,feature_family,used_in_current_frozen_pipeline,source_location,notes
crp_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
crp_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
crp_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
dbp_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
dbp_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
dbp_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
etco2_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
etco2_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
etco2_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
etco2_ventilation_window_active,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/qc/mech_vent_ge_24h_episode_level.csv,Ventilator-only LOCF gating flag; true when the prediction block overlaps a ventilation episode window.
event_time_proxy_h,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Proxy event time used to define within-horizon mortality labels.
exclusion_reason,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,String summary of invalid-instance reasons.
exclusion_reasons,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,List-valued bookkeeping for why a candidate instance is invalid.
feature_set_name,implementation_only,feature_set_metadata,yes,src/chapter1_mortality_decomposition/model_ready.py,Identifies whether the row belongs to the primary or extended model-ready export.
fio2_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
fio2_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
fio2_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
fio2_ventilation_window_active,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/qc/mech_vent_ge_24h_episode_level.csv,Ventilator-only LOCF gating flag; true when the prediction block overlaps a ventilation episode window.
future_window_end_h,implementation_only,timing_and_censoring,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/labels.py,Prediction-time plus horizon; used for proxy label construction.
has_icu_end_time_proxy,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Required-field check for proxy ICU end time.
heart_rate_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
heart_rate_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
heart_rate_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
hematocrit_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
hematocrit_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
hematocrit_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
hemoglobin_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
hemoglobin_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
hemoglobin_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
horizon_h,implementation_only,timing_and_censoring,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/labels.py; src/chapter1_mortality_decomposition/model_ready.py,Prediction horizon in hours.
hospital_id,implementation_only,instance_keys,yes,src/chapter1_mortality_decomposition/cohort.py; src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/model_ready.py,Hospital/site join key.
icu_end_time_proxy_hours,implementation_only,timing_and_censoring,yes,src/chapter1_mortality_decomposition/cohort.py; src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/labels.py,Proxy ICU end time used for censoring and proxy label construction.
inr_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
inr_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
inr_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
instance_id,implementation_only,instance_keys,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/labels.py; src/chapter1_mortality_decomposition/model_ready.py,Horizon-specific prediction-instance identifier.
label_available,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Alias of proxy labelability retained in the label table.
label_definition_id,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Versioned label-definition identifier.
label_definition_status,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Proxy-label approval status.
label_name,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Human-readable label name.
label_semantics,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Free-text description of the proxy label semantics.
label_value,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py; src/chapter1_mortality_decomposition/model_ready.py,Binary proxy within-horizon ICU mortality label.
lactate_art_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
lactate_art_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
lactate_art_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
map_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
map_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
map_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
mech_vent_ge_24h_qc,implementation_only,cohort_gate,yes,src/chapter1_mortality_decomposition/cohort.py; src/chapter1_mortality_decomposition/instances.py,Upstream mechanical-ventilation>=24h cohort gate carried forward for QC.
oxygenation_group_observed_in_block,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Core-vital coverage flag for the oxygenation group.
paco2_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
paco2_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
paco2_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
pao2_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
pao2_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
pao2_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
peep_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
peep_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
peep_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
peep_ventilation_window_active,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/qc/mech_vent_ge_24h_episode_level.csv,Ventilator-only LOCF gating flag; true when the prediction block overlaps a ventilation episode window.
pf_ratio_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
pf_ratio_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
pf_ratio_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
ph_art_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
ph_art_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
ph_art_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
platelets_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
platelets_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
platelets_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
prediction_time_h,implementation_only,timing_and_censoring,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/model_ready.py,Prediction anchor time in hours from ICU admission.
proxy_horizon_labelable,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Whether the instance receives a usable proxy label.
ptt_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
ptt_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
ptt_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
resp_rate_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
resp_rate_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
resp_rate_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
respiratory_group_observed_in_block,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Core-vital coverage flag for the respiratory group.
sao2_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
sao2_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
sao2_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
sbp_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
sbp_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
sbp_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
split,implementation_only,split_assignment,yes,src/chapter1_mortality_decomposition/splits.py; src/chapter1_mortality_decomposition/model_ready.py,Stay-level train/validation/test split assignment.
spo2_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
spo2_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
spo2_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
stay_id_global,implementation_only,instance_keys,yes,src/chapter1_mortality_decomposition/cohort.py; src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/model_ready.py,Stay-level join key.
unlabeled_reason,implementation_only,label_metadata,yes,src/chapter1_mortality_decomposition/labels.py,Reason an otherwise valid instance remains unlabeled.
urea_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
urea_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
urea_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
valid_instance,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Valid-instance inclusion flag before labelability filtering.
vt_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
vt_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
vt_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
vt_per_kg_ibw_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
vt_per_kg_ibw_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
vt_per_kg_ibw_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
vt_per_kg_ibw_ventilation_window_active,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/qc/mech_vent_ge_24h_episode_level.csv,Ventilator-only LOCF gating flag; true when the prediction block overlaps a ventilation episode window.
vt_ventilation_window_active,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/qc/mech_vent_ge_24h_episode_level.csv,Ventilator-only LOCF gating flag; true when the prediction block overlaps a ventilation episode window.
wbc_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
wbc_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
wbc_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
alt_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
alt_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
