variable,final_role,freeze_decision,raw_block_observation_count,preprocessed_non_missing_count,preprocessed_missing_count,preprocessed_non_missing_fraction,model_ready_rows_checked,verification_status,note
bicarbonate_art,mimic_secondary,demoted_from_shared_primary,,,,,855025,partial,Raw block observation count unavailable from read: /Users/joanameyer/data/mimic-iv/mimic-iv-3.1/1-mortality-decomposition/processed/ch1_mimic_blocked_dynamic_features.csv. Preprocessed `bicarbonate_art_last` column unavailable from read: /Users/joanameyer/data/mimic-iv/mimic-iv-3.1/1-mortality-decomposition/preprocessing_outputs/model_ready/chapter1_primary_model_ready_dataset.csv. MIMIC-secondary variable; not required for primary external-validation feature set.
base_excess_art,shared_primary,direct_or_near_direct,176760.0,432669,422356,0.5060308178123447,855025,verified_directly,Preprocessed missingness uses `base_excess_art_last` as representative LOCF-ready feature over configured horizons.
lactate_art,shared_primary,accepted_asymmetry_retained,111752.0,214199,640826,0.25051782111634163,855025,verified_directly,Preprocessed missingness uses `lactate_art_last` as representative LOCF-ready feature over configured horizons.
hemoglobin,shared_primary,direct_or_near_direct,146496.0,835705,19320,0.977404169468729,855025,verified_directly,Preprocessed missingness uses `hemoglobin_last` as representative LOCF-ready feature over configured horizons.
hematocrit,shared_primary,direct_or_near_direct,159724.0,836529,18496,0.9783678839800006,855025,verified_directly,Preprocessed missingness uses `hematocrit_last` as representative LOCF-ready feature over configured horizons.
wbc,shared_primary,direct_or_near_direct,143864.0,835869,19156,0.9775959767258268,855025,verified_directly,Preprocessed missingness uses `wbc_last` as representative LOCF-ready feature over configured horizons.
platelets,shared_primary,direct_or_near_direct,146943.0,835737,19288,0.977441595274992,855025,verified_directly,Preprocessed missingness uses `platelets_last` as representative LOCF-ready feature over configured horizons.
inr,shared_primary,direct_or_near_direct,101508.0,640204,214821,0.7487547147744218,855025,verified_directly,Preprocessed missingness uses `inr_last` as representative LOCF-ready feature over configured horizons.
ptt,shared_primary,direct_or_near_direct,112809.0,635131,219894,0.7428215549252946,855025,verified_directly,Preprocessed missingness uses `ptt_last` as representative LOCF-ready feature over configured horizons.
albumin,shared_primary,direct_or_near_direct,23906.0,294588,560437,0.3445372942311628,855025,verified_directly,Preprocessed missingness uses `albumin_last` as representative LOCF-ready feature over configured horizons.
crp,shared_primary,direct_or_near_direct,2126.0,21022,834003,0.024586415601882985,855025,verified_directly,Preprocessed missingness uses `crp_last` as representative LOCF-ready feature over configured horizons.
bilirubin_total,shared_primary,direct_or_near_direct,49031.0,447687,407338,0.523595216514137,855025,verified_directly,Preprocessed missingness uses `bilirubin_total_last` as representative LOCF-ready feature over configured horizons.
urea,shared_primary,proxy_retained,168966.0,843032,11993,0.9859735095465045,855025,verified_directly,Preprocessed missingness uses `urea_last` as representative LOCF-ready feature over configured horizons.
creatinine,shared_primary,direct_or_near_direct,169304.0,843063,11962,0.9860097657963217,855025,verified_directly,Preprocessed missingness uses `creatinine_last` as representative LOCF-ready feature over configured horizons.
