variable,candidate_itemid,source_table,candidate_family,candidate_role,label,abbreviation,category,unitname,linksto,param_type,fluid,total_row_count,distinct_icu_stay_count,distinct_hadm_count,distinct_subject_count,non_null_numeric_count,missing_blank_unit_count,min,p25,median,p75,max,observed_unit_counts_json,observed_value_counts_json,context_note,audit_status,skip_reason,current_mapping_quality,current_risk_flag,current_mapping_logic
lactate_art,52442,labevents,blood_gas_lab,preferred,Lactate,,Blood Gas,,labevents,,Blood,0,0,0,0,0,0,,,,,,{},{},Additional blood-gas lactate source; often absent in demo.,scanned,,weak,high,Use blood-gas lactate itemids 50813 and 52442; prior-project 225668 Lactic Acid is a chartevents lactate mirror candidate only if later provenance confirms blood-gas/arterial alignment; do not silently substitute chemistry lactate 53154 into the shared-primary mapping.
vt,224684,chartevents,tidal_volume_set,preferred,Tidal Volume (set),Tidal Volume (set),Respiratory,mL,chartevents,Numeric,,429326,36229,34554,31182,429326,0,0.0,400.0,450.0,500.0,6500.0,"{""mL"": 429326}",{},Setting-oriented VT candidate.,scanned,,weak,high,Prefer 224684 Tidal Volume (set) for the setting-oriented Chapter 1 VT concept; keep 224685 Tidal Volume (observed) and 224686 Tidal Volume (spontaneous) only under explicit fallback or sensitivity rules.
vt,224685,chartevents,tidal_volume_observed,fallback,Tidal Volume (observed),Tidal Volume (observed),Respiratory,mL,chartevents,Numeric,,818760,39190,37159,33039,818760,0,0.0,370.0,443.0,519.0,709461.0,"{""mL"": 818760}",{},Observed VT candidate; not interchangeable with set VT.,scanned,,weak,high,Prefer 224684 Tidal Volume (set) for the setting-oriented Chapter 1 VT concept; keep 224685 Tidal Volume (observed) and 224686 Tidal Volume (spontaneous) only under explicit fallback or sensitivity rules.
vt,224686,chartevents,tidal_volume_spontaneous,fallback,Tidal Volume (spontaneous),Tidal Volume (spontaneous),Respiratory,mL,chartevents,Numeric,,425528,31902,30366,27034,425528,0,0.0,354.0,438.0,544.0,820914.0,"{""mL"": 425528}",{},Spontaneous VT candidate; not interchangeable with set VT.,scanned,,weak,high,Prefer 224684 Tidal Volume (set) for the setting-oriented Chapter 1 VT concept; keep 224685 Tidal Volume (observed) and 224686 Tidal Volume (spontaneous) only under explicit fallback or sensitivity rules.
vt_per_kg_ibw,224684,chartevents,vt_support,support,Tidal Volume (set),Tidal Volume (set),Respiratory,mL,chartevents,Numeric,,429326,36229,34554,31182,429326,0,0.0,400.0,450.0,500.0,6500.0,"{""mL"": 429326}",{},VT set support for later VT/IBW derivation.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,224685,chartevents,vt_support,support,Tidal Volume (observed),Tidal Volume (observed),Respiratory,mL,chartevents,Numeric,,818760,39190,37159,33039,818760,0,0.0,370.0,443.0,519.0,709461.0,"{""mL"": 818760}",{},VT observed support for later VT/IBW sensitivity.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,224686,chartevents,vt_support,support,Tidal Volume (spontaneous),Tidal Volume (spontaneous),Respiratory,mL,chartevents,Numeric,,425528,31902,30366,27034,425528,0,0.0,354.0,438.0,544.0,820914.0,"{""mL"": 425528}",{},VT spontaneous support for later VT/IBW sensitivity.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,226730,chartevents,height_support,support,Height (cm),Height (cm),General,cm,chartevents,Numeric,,43616,43615,42934,37101,43616,0,0.0,163.0,170.0,178.0,2095680.0,"{""cm"": 43616}",{},Height in cm for later IBW derivation.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,226707,chartevents,height_support,support,Height,Height,General,Inch,chartevents,Numeric,,43616,43615,42934,37101,43616,0,0.0,64.0,67.0,70.0,825070.0,"{""Inch"": 43616}",{},Height in inches for later IBW derivation after conversion.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,226512,chartevents,weight_context,support,Admission Weight (Kg),Admission Weight (Kg),General,kg,chartevents,Numeric,,87394,87392,85166,65316,87394,0,1.0,65.3,78.0,93.0,5864.0,"{""kg"": 87394}",{},Admission weight context only; should not replace IBW.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,226531,chartevents,weight_context,support,Admission Weight (lbs.),Admission Weight (lbs.),General,,chartevents,Numeric,,143674,73169,68053,54166,143674,143674,0.0,144.3,172.5,206.6,44000.0,"{"""": 143674}",{},Admission weight in pounds context only; should not replace IBW.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
vt_per_kg_ibw,224639,chartevents,weight_context,support,Daily Weight,Daily Weight,General,kg,chartevents,Numeric,,311627,50732,47077,39543,311627,0,-176.0,72.0,86.8,103.0,1103030.0,"{""kg"": 311627}",{},Daily weight context only; should not replace IBW.,scanned,,weak,high,Derive from preferred VT source plus height from 226730 Height (cm) or 226707 Height and sex from patients.gender; compute IBW explicitly rather than substituting admission or daily weight.
pf_ratio,220224,chartevents,pao2_chart,support,Arterial O2 pressure,PO2 (Arterial),Labs,mmHg,chartevents,Numeric,,420333,42089,39494,34736,420333,0,-17.0,85.0,108.0,150.0,999999.0,"{""mmHg"": 420333}",{},Arterial-labeled chart PaO2 support for later PF derivation.,scanned,,weak,high,Primary mapping is derived: PF_ratio = aligned PaO2 / aligned FiO2_fraction; optional direct item 229393 PF Ratio Value can be checked later but should not be the primary source because it is absent in the demo.
pf_ratio,50821,labevents,pao2_lab,support,pO2,,Blood Gas,,labevents,,Blood,698483,0,82922,71135,698099,0,-32.0,69.0,99.0,148.0,4242.0,"{""mm Hg"": 698483}",{},Broader blood-gas pO2 support; arteriality/provenance remains visible.,scanned,,weak,high,Primary mapping is derived: PF_ratio = aligned PaO2 / aligned FiO2_fraction; optional direct item 229393 PF Ratio Value can be checked later but should not be the primary source because it is absent in the demo.
pf_ratio,223835,chartevents,fio2_chart,support,Inspired O2 Fraction,FiO2,Respiratory,,chartevents,Numeric,,1144289,47142,43735,37747,1144289,1144289,0.0,40.0,40.0,50.0,40100.0,"{"""": 1144289}",{},FiO2 support for later PF derivation; percent/fraction handling remains explicit.,scanned,,weak,high,Primary mapping is derived: PF_ratio = aligned PaO2 / aligned FiO2_fraction; optional direct item 229393 PF Ratio Value can be checked later but should not be the primary source because it is absent in the demo.
bicarbonate_art,50803,labevents,blood_gas_measurement,preferred_sparse,"Calculated Bicarbonate, Whole Blood",,Blood Gas,,labevents,,Blood,32994,0,8743,26046,32939,0,2.0,21.0,24.0,26.0,220.0,"{""mEq/L"": 32994}",{},"Calculated Bicarbonate, Whole Blood; sparse and not explicitly arterial.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,50882,labevents,serum_measurement,wrong_context,Bicarbonate,,Chemistry,,labevents,,Blood,3934240,0,406904,286974,3933274,1,2.0,23.0,25.0,28.0,132.0,"{"""": 1, ""mEq/L"": 3934239}",{},Serum chemistry bicarbonate; should not masquerade as arterial bicarbonate.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,224826,chartevents,serum_measurement,wrong_context,ZHCO3 (serum),ZHCO3 (serum),Labs,,chartevents,Numeric,,0,0,0,0,0,0,,,,,,{},{},Charted serum bicarbonate mirror; wrong context for arterial bicarbonate.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,227443,chartevents,serum_measurement,wrong_context,HCO3 (serum),HCO3 (serum),Labs,,chartevents,Numeric with tag,,592372,91221,82875,63819,592372,124,0.0,21.0,24.0,27.0,999999.0,"{"""": 124, ""mEq/L"": 592248}",{},Charted serum bicarbonate mirror; wrong context for arterial bicarbonate.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,226759,chartevents,apache_score,wrong_context,HCO3ApacheIIValue,HCO3ApacheIIValue,Scores - APACHE II,,chartevents,Numeric,,16,12,12,12,16,16,13.0,17.75,21.0,22.25,31.0,"{"""": 16}",{},APACHE-derived value; not a raw measurement.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,226760,chartevents,apache_score,wrong_context,HCO3Score,HCO3Score,Scores - APACHE II,,chartevents,Numeric,,19,14,14,14,19,19,0.0,0.0,0.0,0.0,4.0,"{"""": 19}",{},APACHE score component; not a raw measurement.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,225165,inputevents,treatment_input,wrong_context,Bicarbonate Base,Bicarbonate Base,Fluids/Intake,mL,inputevents,Solution,,0,0,0,0,0,0,,,,,,{},{},"Bicarbonate treatment/input, not a patient measurement.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,220995,inputevents,treatment_input,wrong_context,Sodium Bicarbonate 8.4%,Sodium Bicarbonate 8.4%,Medications,mEq,inputevents,Solution,,10203,3802,3748,3603,10203,0,0.0375000005587935,46.125,114.375,150.0,7545.778503417969,"{""/hour"": 4, ""mEq"": 10199}",{},"Sodium bicarbonate medication/input, not a patient measurement.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,227533,inputevents,treatment_input,wrong_context,Sodium Bicarbonate 8.4% (Amp),Sodium Bicarbonate 8.4% (Amp),Fluids/Intake,mL,inputevents,Solution,,6646,2797,2771,2711,6646,0,0.0,50.0,50.0,50.0,1000.0,"{""mL"": 6646}",{},"Sodium bicarbonate amp input, not a patient measurement.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,221211,inputevents,treatment_input,wrong_context,"Sodium Bicarbonate 1,4%","NaBic 1,4%",Fluids - Other (Not In Use),mL,inputevents,Solution,,0,0,0,0,0,0,,,,,,{},{},Sodium bicarbonate input item not in use; not a patient measurement.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,220994,ingredientevents,ingredient,wrong_context,Bicarbonate (ingr),ZHCO3,Ingredients - general (Not In Use),mg,ingredientevents,Ingredient,,0,0,0,0,0,0,,,,,,{},{},"Ingredient record, not a patient measurement.",skipped_optional_table_missing,Optional source table unavailable: /Users/joanameyer/data/mimic-iv/mimic-iv-3.1/icu/ingredientevents.csv.gz,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
etco2,228640,chartevents,etco2_chart,optional,EtCO2,EtCO2,Routine Vital Signs,,chartevents,Numeric,,159348,12857,12208,11280,159348,159348,-62.0,31.0,35.0,41.0,2950460.0,"{"""": 159348}",{},EtCO2 candidate; unit metadata and sparse coverage require review.,scanned,,direct,high,Prefer 228640 EtCO2 from chartevents; keep high-risk caution because local unit metadata is blank and demo coverage is sparse.
ph_art,223830,chartevents,arterial_labeled_chart,resolved_preferred,PH (Arterial),PH (Arterial),Labs,,chartevents,Numeric,,432459,42347,39723,34911,432459,286,0.0,7.33,7.39,7.44,999999.0,"{"""": 286, ""units"": 432173}",{},Resolved direct semantic mapping; audit coverage/provenance only.,scanned,,direct,high,Prefer 223830 PH (Arterial) from chartevents; use 50820 pH from blood-gas labevents only if later review confirms arterial interpretation or chart mirroring; do not substitute non-blood-fluid pH rows.
ph_art,50820,labevents,blood_gas_lab,conditional_secondary,pH,,Blood Gas,,labevents,,Blood,754141,0,87825,75703,753699,0,0.0,7.32,7.38,7.43,8.92,"{""units"": 754141}",{},Broader blood-gas pH candidate; only coverage/provenance check.,scanned,,direct,high,Prefer 223830 PH (Arterial) from chartevents; use 50820 pH from blood-gas labevents only if later review confirms arterial interpretation or chart mirroring; do not substitute non-blood-fluid pH rows.
